,source,target,edge
3517,unrated  film,informally  newspapers,denoted by
3518,age ratings,several  categories,divided into several
3519,matthew robert catrini,undisclosed  roles,cast in undisclosed
3520,production,late  2018,scheduled
3521,vanessa blake kirby,interest,expressed
3522,derek  dana,also robert cast,joined
3523,filming,april,expected
3524,cassidy evan schiff,editors,serve as
3525,short,lionel bailliu,is
3526,original music score,mark isham,composed by
3527,cast,vanessa  redgrave,headed by vanessa
3528,film,positive  reviews,received
3529,results,andrew comedy bujalski,is
3530,,,pearce
3531,consensus states consensus results,deliberate  pace,moves
3532,name ollywood,words odia,is
3533,odisha,from1936,has
3534,it,laksmi talkies,released in
3535,this,landmark odia film industry,was
3536,it,film sita bibaha,released
3537,it,ratikant odia padhi,was
3538,name,always odia film industry,be synonymous
3539,phoola chandana,ananda sankar das,written by ananda
3540,,,suna
3541,raja rani,paradeshi odia,made in
3542,tulasi apa,international  festivals,was
3543,name ollywood,words odia,is
3544,odisha,from1936,has
3545,it,laksmi talkies,released in
3546,this,landmark odia film industry,was
3547,it,film sita bibaha,released
3548,it,ratikant odia padhi,was
3549,name,always odia film industry,be synonymous
3550,phoola chandana,ananda sankar das,written by ananda
3551,,,suna
3552,raja rani,paradeshi odia,made in
3553,tulasi apa,international  festivals,was
3554,free,italian gianluca maria tavarelli,is
3555,these,other  instalments,were
3556,films,young  audiences,are
3557,dvd examples,kick  swan,include
3558,el angel,luis crime ortega,is
3559,,monica  roger,castillo of
3560,window film,professional service companies,installed by professional
3561,silvered  film,same  end,employed to
3562,it,also window translucent,frosted
3563,applied mirror film,one way mirrors,create
3564,window film,more  blinds,considered
3565,films,glass,are suitable
3566,amount,iridescence,vary from
3567,window tints,efficient  buildings,used in
3568,solar window film,critical  testing,is
3569,astm,solar uv transmission properties,relate to
3570,mystic  river,psychological clint eastwood,is
3571,film,robert lorenz,produced by robert
3572,film,critical  acclaim,opened to widespread
3573,two,still  marriage,are
3574,old daughter katie,secretly brendan harris,despises
3575,she,together  vegas,brendan
3576,pregnant  wife,recently  him,left
3577,soon  jimmy,it,becomes suspicious
3578,jimmy,local  bar,dave drunk
3579,it,all  prank,was
3580,jimmy,wife,goes to
3581,you,it,shake
3582,film,4  dec,released
3583,veteran composer ilaiyaraaja,music,scored
3584,auro,genetic  disorder,is
3585,he,mission,is
3586,day  media,school,tries
3587,vidya balan,only  role,was
3588,she,well  role,suited
3589,college,song sequence,shown in
3590,film,also  malaysia,shot in
3591,vii king school,malaysian  schools,was
3592,,veteran composer ilaiyaraaja,soundtrack
3593,,historical jerzy hoffman,is
3594,cube,independent fiction horror vincenzo,is
3595,film,toronto,shot in
3596,,entitled  elevated,developed
3597,short,eventually procure financing,helped
3598,cube,toronto soundstage,shot on
3599,it,cubical shell,consists of
3600,side,outer  shell,is
3601,bloody  disgusting,movie,gave
3602,positive  review,weak  movie,hold
3603,however  film,2016,been stalled.\n
3604,things,hansen drama løve,is
3605,things,critical  acclaim,received critical
3606,first film colorization methods,individuals,done by
3607,technique,1991,patented in
3608,max,inventor,handschiegl
3609,result,technicians,judged
3610,movies,black,be
3611,orson welles mercury productions,,inc
3612,law,national film registry,created
3613,colorization,sometimes documentary programmes,used on
3614,series,contemporary  footage,consists of colorized
3615,it,denzel grace moretz,stars denzel
3616,slavi,mccall,refuses
3617,mandy,then  rensen,murdered by
3618,song,also closing credits,plays over
3619,later  it,ultra  hd,released on ultra
3620,second  film,u.s,theaters
3621,equalizer,2  u.s,released in
3622,she,also  photographs,posed nude
3623,same  sequence,several  cameras,filmed
3624,first  films,nudity,were
3625,most,films,lost
3626,silent horror film häxan,nude  scenes,contained nude
3627,however  code,1934,enforced until
3628,they,sensationalized exploitation films,were
3629,pubic  area,film,promises
3630,original,edited box office success,enjoyed
3631,however critic roger ebert,finally  promises,wrote
3632,she,nudie,does
3633,video  versions,nudity,cut
3634,nudity,various  forms,become
3635,movie critics,gratuitous,view gratuitous
3636,,,beffe
3637,i,explicit  sex,am curious
3638,both,initially  u.s,banned in
3639,when  they,1968,[
3640,,,fille
3641,,,guerilla
3642,male  genitals,various  scenes,shown in various
3643,film,african film director lawrence,directed by
3644,where  scenes,actual  nudity,[
3645,most,main  characters,are high
3646,it,cult classic,come
3647,she,brick,mentions
3648,johnson,detective films,grown
3649,2  dvd,september,released on
3650,stephen holden,new york times,commented
3651,it,first warner bros,is
3652,warren skaaren,rewrites,did
3653,uncredited  drafts,mckeown  gems,done by
3654,three  sequels,forever batman june,june
3655,batman,her,arrives
3656,producers,,benjamin
3657,holden,1981,died in
3658,nine  rewrites,separate  writers,performed by
3659,burton,warner bros,pressured by
3660,kane,heavily  casting,questioned
3661,robin williams,hard  part,lobbied
3662,jack nicholson,1980,been
3663,robert wuhl,reporter alexander knox,cast as
3664,we,anything,was
3665,hell,pavement,[
3666,18 sound stages,95 acre backlot,used
3667,,$ 48 million,budget
3668,jonathan gems,filming,mckeown
3669,they,darker  freedom,are
3670,,comic book miniseries,allowed
3671,stories,graphic novel batman,collected in
3672,750 million 750 worth,merchandise,sold
3673,you,around bat signal,turn
3674,gross,american  ranks,is
3675,i,also vicki batcave,hold innocent
3676,he,also  film,called
3677,now  everyone,dark superhero movie,wants
3678,executive  producers,,benjamin
3679,superior court judge,lawsuit,rejected
3680,batman,ultra  hd,released on ultra
3681,he,phone,dave
3682,she,alligators,attempts
3683,biggest  star,silent  era,was
3684,it,synchronized part score, 
3685,john bip,british picture 1933,became
3686,1927 films act,up  renewal,was
3687,new  venture,initially denham studios,based at
3688,paul rotha,alberto  jennings,were
3689,portmanteau horror film,dead  night,is
3690,attitude,style,means
3691,style,attitude,means
3692,anderson,commercial film industry,was dismissive
3693,critical wave film responses,'s,been positive
3694,commercial  success,beautiful  laundrette,achieved with
3695,annual  investment,1989,was
3696,other working titles films,bean,included
3697,,2  2011,part
3698,it,critical  acclaim,received
3699,number,other  organisations,responded
3700,british  directors,recent  years,are
3701,film industry,british  economy,remains
3702,biggest  star,silent  era,was
3703,it,synchronized part score, 
3704,john bip,british picture 1933,became
3705,1927 films act,up  renewal,was
3706,new  venture,initially denham studios,based at
3707,paul rotha,alberto  jennings,were
3708,portmanteau horror film,dead  night,is
3709,attitude,style,means
3710,style,attitude,means
3711,anderson,commercial film industry,was dismissive
3712,critical wave film responses,'s,been positive
3713,commercial  success,beautiful  laundrette,achieved with
3714,annual  investment,1989,was
3715,other working titles films,bean,included
3716,,2  2011,part
3717,it,critical  acclaim,received
3718,number,other  organisations,responded
3719,british  directors,recent  years,are
3720,film industry,british  economy,remains
3721,she,him,travels to
3722,who,plan,dewey
3723,bourne,enough  smith,evades
3724,,confronts suite,thwarts
3725,you,where,go from
3726,then  i,then  which,'s
3727,instead bourne legacy,u.s,released in
3728,it,1,had
3729,film,$ 66.3 million,ended
3730,vishal  bhardwaj,songs,was
3731,principal  photography,august  2017,began by
3732,film score,bijibal,composed by bijibal
3733,film,19 january 2018,released on
3734,marketing budgets,half production budget,tend
3735,publicity,generally  distributor,handled by
3736,he,police,arrested
3737,arjun,5 years imprisonment,sentenced to
3738,she,house,leaves
3739,zoya,supermarket,shopping in
3740,she,son,hugs
3741,album,original  songs,consists of
3742,positive jannat jahan,positive  reviews,received
3743,tu hai,song ana ayesh,seems
3744,it,commercially ₹650 million,was
3745,lucid,sean  garrity,is
3746,nandi awards,four  categories,presented in
3747,nandi awards,four  categories,presented in
3748,she,despair,flees
3749,it,u.s,festival
3750,waitress,made quality star wattage,called
3751,stage,musical  film,written
3752,movie,paper film,shot on
3753,chronological  improvements,medium,listed
3754,animated  cartoon,1906,produced in
3755,wide screen formats,first  1950s,experimented with
3756,most  movies,1970s,were
3757,70 mm formats,popularity,gained
3758,black  movies,digital  tinting,colorized
3759,kinemacolor,1908,introduced
3760,kodachrome,1935,introduced in
3761,effort,little  success,met with
3762,he,highly cinema world,was
3763,practice,deep  focus,known as deep
3764,today  trend,shallow  focus,is for
3765,different  ratios,aesthetic  effects,provide different
3766,this,cropped  1.37, 
3767,invention,cinematic  world,is
3768,it,30  second,is
3769,it,25  second,is
3770,speed,presentation,vary
3771,then  he,then balloon like, 
3772,cinematography,photography,is
3773,movie,paper film,shot on
3774,chronological  improvements,medium,listed
3775,animated  cartoon,1906,produced in
3776,wide screen formats,first  1950s,experimented with
3777,most  movies,1970s,were
3778,70 mm formats,popularity,gained
3779,black  movies,digital  tinting,colorized
3780,kinemacolor,1908,introduced
3781,kodachrome,1935,introduced in
3782,effort,little  success,met with
3783,he,highly cinema world,was
3784,practice,deep  focus,known as deep
3785,today  trend,shallow  focus,is for
3786,different  ratios,aesthetic  effects,provide different
3787,this,cropped  1.37, 
3788,invention,cinematic  world,is
3789,it,30  second,is
3790,it,25  second,is
3791,speed,presentation,vary
3792,then  he,then balloon like, 
3793,cinematography,photography,is
3794,ski films,one  techniques, 
3795,snow,mountain film switzerland,held in
3796,picture,light  source,include
3797,lcd technology,japan,developed in
3798,sasaki,inch color lcd tv,fabricated
3799,working  title,ramappa  poojary,was
3800,fukunaga,replacement,announced as
3801,,undisclosed  roles,dali
3802,favourite christopher nolan,himself,ruled
3803,spectre,final daniel bond,speculated
3804,malek,further  villain,announced as
3805,fukunaga,replacement,announced as
3806,,undisclosed  roles,dali
3807,favourite christopher nolan,himself,ruled
3808,spectre,final daniel bond,speculated
3809,malek,further  villain,announced as
3810,rookwood,disguise,was
3811,ignorance,book,is
3812,name,adolf adam hitler,is
3813,it,also news corp,been
3814,closest  rival,"$  15,604,892",took
3815,ebert,two  rating,gave
3816,gordon,minor  adaptations,changed
3817,first,rolling fighting stones,was
3818,second,special ethan bkab,was
3819,final  song,sight,was out
3820,reviewer,solzman  science, 
3821,artillery fire,eventually  party,breaks
3822,two,chancellery garden,cremated in
3823,minister joseph goebbels,chancellorship,assumes
3824,he,eventually  project,agreed
3825,film,13.5 million 13.5 budget,produced on
3826,it,u.s,premiered in
3827,it,four world cinema competition,won
3828,film,7  september,released on
3829,second raat kitni,21 august 2018.\n,song
3830,film,poor  reviews,received
3831,it,mixed  reviews,opened to mixed
3832,telugu anchor chitralekha,supporting  role,selected for
3833,he,narrative skill,was impressed
3834,climax,october,shot at
3835,soundtrack,aditya music,marketed by
3836,cinegoer.net,sharma,wrote
3837,entire  compilation,unique  sound,is
3838,audio,doubt chart busters,become
3839,however  absence,bhaskar  sharma,was conspicuous
3840,cast  present,double platinum disc shields,presented with
3841,climax,film,appears little
3842,movie,huge  expectations,live
3843,things,well  expectations,gel
3844,it,mixed  reviews,opened to mixed
3845,telugu anchor chitralekha,supporting  role,selected for
3846,he,narrative skill,was impressed
3847,climax,october,shot at
3848,soundtrack,aditya music,marketed by
3849,cinegoer.net,sharma,wrote
3850,entire  compilation,unique  sound,is
3851,audio,doubt chart busters,become
3852,however  absence,bhaskar  sharma,was conspicuous
3853,cast  present,double platinum disc shields,presented with
3854,climax,film,appears little
3855,movie,huge  expectations,live
3856,things,well  expectations,gel
3857,poitín,,was
3858,poitín,16 mm film,shot on
3859,animation,large  frames,consists of
3860,film,public  donations,funded by public
3861,several  celebrities,jonah hill jonah reynolds,donated
3862,imdb,"3,000  producers",reached
3863,entire  project,then  imdb,removed from
3864,giovanni signs wife,distance,books
3865,lidia,while,leaves
3866,giovanni,offer,is reluctant
3867,giovanni,slightly  behavior,annoyed by
3868,i,you,love
3869,he,her,love
3870,even  boredom,him,made interesting
3871,giovanni signs wife,distance,books
3872,lidia,while,leaves
3873,giovanni,offer,is reluctant
3874,giovanni,slightly  behavior,annoyed by
3875,i,you,love
3876,he,her,love
3877,even  boredom,him,made interesting
3878,jal,unique action climax,is
3879,this,composing bollywood film,is
3880,entire  song,day,created in
3881,background score,sonu nigam,is by
3882,journalists,,medved
3883,word fuck,times  film,used
3884,scholarly  analysis,publisher reinhold aman,provided by maledicta
3885,film,next author hunter,features
3886,thirty five media commentators,film,interviewed for
3887,it,washington,had
3888,fuck,mixed  reviews,received mixed
3889,a. o. scott,new york times,wrote in
3890,fuck,several university courses,been
3891,teacher,decision,appeal
3892,baahubali  conclusion,epic action s.,is
3893,soundtrack,m. m. keeravani,composed by
3894,meanwhile  kuntala,pindaris,army
3895,devasena,inaction,speaks
3896,series,shobu yarlagadda,produced by
3897,r.c.kamalakannan,visual effects supervisor,chosen as visual
3898,costume designers,,are
3899,film,also abbreviation bb2,known by
3900,actor nassar,supporting  role,selected
3901,it,new  me,be
3902,video,vfx,lacked
3903,he,perfect bhallaladeva duryodana,calls
3904,malayalam version,24  april,released on
3905,film,british film institute,screened at
3906,it,international film festival,premiered at
3907,it,original  languages,released in
3908,however  rumours,great india films,refuted by great
3909,tickets,2  may,sold
3910,later  tickets,first  week,sold
3911,baahubali  conclusion,₹10 billion ₹10 nett,crossed
3912,indian magnum mythos,sweeping magnum that,'s
3913,prabhas,father,is terrific
3914,this,indian  cinema,is new
3915,indian  that,indian  film,is
3916,frame,meticulously ss rajamouli,captured by
3917,this,visual  effects,is
3918,daughter alia bhatt,film,called
3919,,baahubali  that,stands for
3920,worldwide  it,searched  2017,was
3921,baahubali  conclusion,epic action s.,is
3922,soundtrack,m. m. keeravani,composed by
3923,meanwhile  kuntala,pindaris,army
3924,devasena,inaction,speaks
3925,series,shobu yarlagadda,produced by
3926,r.c.kamalakannan,visual effects supervisor,chosen as visual
3927,costume designers,,are
3928,film,also abbreviation bb2,known by
3929,actor nassar,supporting  role,selected
3930,it,new  me,be
3931,video,vfx,lacked
3932,he,perfect bhallaladeva duryodana,calls
3933,malayalam version,24  april,released on
3934,film,british film institute,screened at
3935,it,international film festival,premiered at
3936,it,original  languages,released in
3937,however  rumours,great india films,refuted by great
3938,tickets,2  may,sold
3939,later  tickets,first  week,sold
3940,baahubali  conclusion,₹10 billion ₹10 nett,crossed
3941,indian magnum mythos,sweeping magnum that,'s
3942,prabhas,father,is terrific
3943,this,indian  cinema,is new
3944,indian  that,indian  film,is
3945,frame,meticulously ss rajamouli,captured by
3946,this,visual  effects,is
3947,daughter alia bhatt,film,called
3948,,baahubali  that,stands for
3949,worldwide  it,searched  2017,was
3950,basant,indian amiya chakrabarty,is
3951,film,,shanti
3952,yaman,jeeva action shankar,is
3953,score,vijay antony,composed by
3954,films,actually  story,have
3955,series,paramount  pictures,distributed by paramount
3956,prime  directive,working  title,used as
3957,this,comic  book,was
3958,writing trio,$  8\xa0million,paid
3959,2010  script,march,said
3960,shia labeouf,future  installments,return in
3961,j. miller,cast,joined
3962,two  who,alternate  modes,revealed
3963,room members,robertson jeff dworet,include
3964,lindsey  beer,also robertson duties,brought
3965,it,december,released on
3966,last  knight,june,released
3967,this,comic  books,includes comic
3968,characterization,autobot twins,criticized
3969,supporting  cast,dev gill,features
3970,movie,1961 movie lover,is
3971,this,foreign kannada languages,was
3972,,1962  detroit,jr
3973,same  who,warner,year
3974,schumacher,lauryn hill,planned
3975,dvd version,two  editions,issued in
3976,two disc version,also length production documentary,included
3977,dvd versions,two disc formats,issued in
3978,dreamgirls,high home entertainment format,was
3979,consensus states,real  feats,detract from
3980,book,october,released on
3981,entitled  movie,musical  march,scrapbook
3982,jobs,2013 sundance film festival,chosen
3983,later  jobs,back los altos,is
3984,bill fernandez,apple team,espinosa
3985,film,forward  1996,jumps
3986,it,also sister patricia,observed by
3987,,complex consensus figure,reads
3988,he,certainly  look,has
3989,he,better  producer,'s
3990,historical  that,historical  inaccuracies,are
3991,you,,do
3992,i,jobs script,turned
3993,i,great  movie,hoped for
3994,wozniak,2015 steve jobs film,was
3995,he,motorcycle dude,'s like
3996,it,just  us,cracked
3997,i,guy,liked
3998,he,leathers,wearing
3999,chris espinosa,twitter,stated on
4000,it,thirteenth men film series,intended
4001,we,something,trying
4002,filming,september,ended on
4003,it,originally  april,going
4004,next  one,different horror movie,be
4005,theatrical  trailers,two  minutes,mandates
4006,internet home trailers,time restrictions,have
4007,only  that,u.s,films
4008,date,this,affected by
4009,walter reade,top  u.s,was
4010,who,ratings,exhibitors
4011,both,subsidiaries,were
4012,first  film,rating, 
4013,new yorker critic pauline,criticism,echoed
4014,how  anything,this,be worse
4015,it,r,got
4016,movie,then  miramax,released unrated
4017,score,brian  eno,composed by brian
4018,however  jack,accidentally  friend,stumbles across
4019,i,here  moment,was
4020,i,long  life,wish
4021,he,mr,become
4022,official  trailer,television series entertainment,released
4023,it,rated peter date,is
4024,genre,historical  context,defined by
4025,godfather,1972,released
4026,it,best  picture,won best
4027,some,these,were
4028,film,based dimeo crime family,center around
4029,,, 
4030,it,hong box office,was
4031,later  buslov,sequel bimmer,released
4032,1940  film,indian movie world,is
4033,film,y.,directed by
4034,film,narasimha  reddy,directed by
4035,successful telugu films,largely bengali cinema,remade by
4036,nandi,bull,means
4037,2006 film bommarillu,72  prints,released
4038,cult classic cult sudigundalu,tashkent film festivals,screened at
4039,,such n. reddy,cinematographers such
4040,p. patnaik,current cine music association,is
4041,1940  film,indian movie world,is
4042,film,y.,directed by
4043,film,narasimha  reddy,directed by
4044,successful telugu films,largely bengali cinema,remade by
4045,nandi,bull,means
4046,2006 film bommarillu,72  prints,released
4047,cult classic cult sudigundalu,tashkent film festivals,screened at
4048,,such n. reddy,cinematographers such
4049,p. patnaik,current cine music association,is
4050,it,chashi nazrul islam,directed by chashi
4051,film,impress telefilm ltd,produced
4052,it,shakib  khan,stars shakib
4053,two certificate awards,national film awards,discontinued from 15th
4054,award,rajat  kamal,includes
4055,annabelle  creation,positive  reviews,met with
4056,producer writers,producer peter,safran
4057,safran,project,co
4058,film,april,released on
4059,wan,project,set
4060,demonic  face,back  her,turns
4061,what,mom,'s wrong
4062,something,mom,happening to
4063,daughter,health,starts
4064,short  film,september,released on
4065,innocent  souls,short alejandro lópez,is
4066,film,also alejandro lópez,written
4067,innocent  souls,colombian  competition,was
4068,short  film,november,released on
4069,owners,unspecified  damages,seeking unspecified
4070,annabelle  creation,positive  reviews,met with
4071,producer writers,producer peter,safran
4072,safran,project,co
4073,film,april,released on
4074,wan,project,set
4075,demonic  face,back  her,turns
4076,what,mom,'s wrong
4077,something,mom,happening to
4078,daughter,health,starts
4079,short  film,september,released on
4080,innocent  souls,short alejandro lópez,is
4081,film,also alejandro lópez,written
4082,innocent  souls,colombian  competition,was
4083,short  film,november,released on
4084,owners,unspecified  damages,seeking unspecified
4085,verna,happy  couple,is
4086,sara who,sara friend,talks to
4087,reason,rape,found
4088,they,pressure,decide
4089,mom,america,flees to
4090,sara,this,becomes angry
4091,sara,residence,sneak into
4092,it,women,is
4093,lyrics,shoaib mansoor.\n,written by
4094,verna,,opened
4095,product,short  it,fell short
4096,nickelodeon movies,theatrical nickelodeon tv channel,is
4097,films,paramount fellow viacom pictures,are co
4098,nickelodeon movies,then  1996,founded in
4099,it,first academy award,is
4100,film,positive  reviews,received positive
4101,it,$  40.1\xa0million,grossed
4102,rugrats,later  june,go wild
4103,film,only pg rating,is
4104,favorite author guy,favorite author candidates,was
4105,barry  sonnenfeld,june,hired
4106,film,december,released on
4107,it,theatrical documentary release,became
4108,sequel,film,considered
4109,i,big  knickers,wearing
4110,film,positive  reviews,met with positive
4111,it,dreamworks,distributed by
4112,however  it,still  paramount,distributed under
4113,film,blind gk films,produced by
4114,it,animated  verbinski,is
4115,it,animated  3d,was
4116,bay,walker,produce alongside
4117,it,august,released on august
4118,film,negative  reviews,met with negative
4119,it,positive  reviews,received positive
4120,film,november,released on
4121,it,january,scheduled
4122,morning uncle hat,nephew,found by
4123,principal  photography,13  september,began on
4124,nick urata,soundtrack,composed
4125,music,where nick noted.\n,composed by nick
4126,ilfochrome  materials,dye destruction process,use
4127,different  techniques,enlargement process,used during
4128,two  examples,enlargement techniques,dodging
4129,sheet,special  requirements,developed
4130,film,hand,emerge
4131,ilfochrome  materials,dye destruction process,use
4132,different  techniques,enlargement process,used during
4133,two  examples,enlargement techniques,dodging
4134,sheet,special  requirements,developed
4135,film,hand,emerge
4136,,alberto fiction comedy lattuada,is
4137,it,spy film genre,parodies
4138,robin hood,1973 office success,released on
4139,meanwhile prince john,assistant sir nottingham,arrive in
4140,inside  meeting,marian,sneak
4141,we,terrific kid audience,have
4142,film,-  march,released on
4143,oo  de,lally cd collection,appear on
4144,song love,fantastic feature mr,featured in
4145,company,theatrical  premieres,distributes
4146,human  harvest,originally  mandarin,produced
4147,film,many science fiction films,influenced many
4148,sequel blade runner,2049  october,released in
4149,where  rachael,deckard  apartment,returns to
4150,roy,then  him,kills
4151,deckard,apartment block,leave
4152,film,dramatic  levels,operates on multiple
4153,inherent  ambiguity,multiple  interpretations,permitted multiple
4154,william sanderson,j.\xa0,cast as
4155,joe pantoliano,earlier  role,considered for
4156,i,it,recognized
4157,they,it,caught
4158,i,ridley,tangled with
4159,now  i,narration,stuck re
4160,he,lot,knows
4161,i,new  block,was
4162,we,good  movie,made
4163,backlot,2019 angeles street sets,housed
4164,other  locations,brown  house,included
4165,he,that,decision
4166,voight kampff machine,fictional interrogation novel,is
4167,blade runner,different  tool,uses
4168,cameras,frequently  computers,were
4169,date,producer alan ladd,chosen by
4170,extra  which,commercial  success,terrestrial
4171,several  versions,blade runner,shown
4172,only  scott,artistic  control,is
4173,initial  reactions,film critics,were mixed
4174,blade runner,cyberpunk  movement,been
4175,film,several  documentaries,been
4176,these,human blade runner,are
4177,film,many science fiction films,influenced many
4178,sequel blade runner,2049  october,released in
4179,where  rachael,deckard  apartment,returns to
4180,roy,then  him,kills
4181,deckard,apartment block,leave
4182,film,dramatic  levels,operates on multiple
4183,inherent  ambiguity,multiple  interpretations,permitted multiple
4184,william sanderson,j.\xa0,cast as
4185,joe pantoliano,earlier  role,considered for
4186,i,it,recognized
4187,they,it,caught
4188,i,ridley,tangled with
4189,now  i,narration,stuck re
4190,he,lot,knows
4191,i,new  block,was
4192,we,good  movie,made
4193,backlot,2019 angeles street sets,housed
4194,other  locations,brown  house,included
4195,he,that,decision
4196,voight kampff machine,fictional interrogation novel,is
4197,blade runner,different  tool,uses
4198,cameras,frequently  computers,were
4199,date,producer alan ladd,chosen by
4200,extra  which,commercial  success,terrestrial
4201,several  versions,blade runner,shown
4202,only  scott,artistic  control,is
4203,initial  reactions,film critics,were mixed
4204,blade runner,cyberpunk  movement,been
4205,film,several  documentaries,been
4206,these,human blade runner,are
4207,film,tamil film saamy,was
4208,barood,mithun t prasad,is
4209,honest police man,corrupt  politician,bribed by
4210,film,,was
4211,film,chinese streaming platforms,watched more
4212,methods,early morning workouts,seem harsh
4213,he,younger  roles,doing younger
4214,it,khan,produced by
4215,film,perception,change
4216,mukesh  chhabra,casting  dangal,was
4217,mallika sherawat,role,auditioned for
4218,natural  light,majorly  film,employed in
4219,music,pritam,composed by
4220,it,lifetime,is
4221,dangal,grossing sports 2017,is
4222,footfalls,indian box office,was
4223,this,record box office history,was
4224,dangal,well  china,performed
4225,film,online streaming platforms,released on several
4226,we,risk,want
4227,so  dangal,entry,sent
4228,we,aamir khan,love aamir
4229,they,great  job,did
4230,unfortunately  they,entry,send
4231,ned robert beatrice,wesley robert addy,faye
4232,hackett,ubs  executives,agrees
4233,overlapping  audio,unintelligible  cacophony,creates
4234,american  people,angry  shows,are angry
4235,finch,reportedly bugger pride,responded
4236,we,naturalistic  look,started with
4237,camera setups,still  pictures,are static
4238,camera,also  television,become
4239,same camera angle,instances,employed in
4240,song,erratic debut cinematic,features on
4241,statuette,widow,collected by
4242,sequel,2 spider may,released on
4243,connors,superior  dr,pressed by
4244,ben,sidewalk,escapes
4245,spider man,spider mask,discovers
4246,,matt character,tolmach
4247,e trust,leary,said of
4248,,previous  films,jonah
4249,i,speculation,invite
4250,2 spider character,amazing spider man,revealed
4251,,rodier stacy family,coleman
4252,screenwriters,time,james
4253,raimi,next john villain,wanted
4254,particularly  he,particularly  emma,explained
4255,so  that,it,was
4256,three  films,good  reason,beloved for good
4257,i,sam,signing on
4258,it,different  characters,'s
4259,logan,lerman screen tests,had
4260,shortlist,then dianna agron,reported
4261,embeth  davidtz,then  nicholson,replaced
4262,that,design,was
4263,film,ts-5 beamsplitter mirror rig,reported
4264,james horner,film,scored
4265,,musical  cue,described
4266,hardee,film,helped
4267,mobile  phones,other sony divisions,came from other
4268,other  placements,bing search engine,included
4269,special  screening,extended  trailer,included
4270,missing  items,jansport backpack,included
4271,site,made spider man scenes,hosted
4272,gym,peter school,funded by
4273,viral  website,class,discovered
4274,viral  site,oscorp industries,was available
4275,cancer,greatest  villains,is
4276,movie,30  countries,ranked
4277,china,$ 48.8 million,is
4278,bob mondello,npr,comes
4279,,,dude
4280,comic  character,comic  books,is
4281,nerds,world,running
4282,he,arm,has
4283,hat,whole spider man idea,'s
4284,international film festival,17  september,held from
4285,feature 147,feature films,claimed
4286,final  awards,17  september,announced on
4287,110,still film photography,is
4288,110,126 film format,is
4289,lomography,110 film 2011,re
4290,latter,special pocket carousel projectors, 
4291,speed,110  cameras,supported by most
4292,film,anya taylor joy,stars
4293,costumes,wool,made with
4294,muir,larger costume budget,lobbied for
4295,extras,outtakes,include
4296,he,cheap  tricks,need cheap
4297,eggers,merely  us,directs
4298,matthew  bannister,him,named
4299,japanese hideo kojima,first video games,considered
4300,matthew  bannister,him,named
4301,japanese hideo kojima,first video games,considered
4302,biology teacher devki,students,is vivacious
4303,inspector matthew,quickly  attackers,rounds
4304,body samples,too  attackers,recovered
4305,,her,arya
4306,climactic  schedule,climactic  environment,wrapped
4307,music,a. r. rahman.\n,composed by
4308,julieta,$ 22 million,grossed
4309,julieta,loss,racked by
4310,attempts,antía,are unsuccessful
4311,,,film
4312,i,something,wanted
4313,filming,7  august,completed on
4314,confidencial,negatively  film,responded
4315,le parisien,five star rating,gave
4316,museum collection,"37,000 film titles",includes
4317,predecessor,historical film 1946,was
4318,,1920'sfilmstar alexander binder,garbo by
